"emp_no","last_name","first_name","hire_date"
425730,"Wendorf","Boriana","1986-10-06"
416575,"Olano","Shai","1986-11-15"
265606,"Zhang","Boalin","1986-12-23"
297761,"Narahari","Mario","1986-02-12"
93545,"Syang","Naftali","1986-01-28"
25477,"Birta","Lijia","1986-02-01"
279287,"Ranum","Uli","1986-02-26"
296003,"Khamsi","Gay","1986-05-27"
258420,"Geffroy","Arne","1986-09-07"
403699,"Muntz","Mrinalini","1986-04-28"
204125,"Ligten","Feipei","1986-04-29"
46055,"Fabrizio","Charlene","1986-02-13"
432533,"Pileggi","Kazuyasu","1986-01-16"
480318,"Zastre","Temple","1986-07-22"
244892,"Huxford","Guther","1986-11-20"
481377,"Petersohn","Yinghua","1986-09-25"
489916,"Munoz","Steve","1986-12-10"
42572,"Ramalingam","Mads","1986-08-01"
17548,"Fujisaki","Xuedong","1986-03-09"
244804,"Serre","Beshir","1986-12-08"
200833,"Perl","Ottavia","1986-07-01"
277453,"Basawa","Abdelwaheb","1986-10-28"
212125,"Rossi","Xuedong","1986-04-12"
107161,"Leuchs","Shawna","1986-09-08"
444290,"Gire","Harngdar","1986-02-11"
447561,"Hedayat","Constantine","1986-12-02"
88569,"Jenevein","Barton","1986-03-24"
448160,"Perly","Clyde","1986-09-10"
79979,"Papsdorf","Yunming","1986-12-29"
221087,"Suppi","Tsz","1986-03-08"
57740,"Osgood","Georgi","1986-10-26"
464322,"Sessa","Sandeepan","1986-06-22"
32908,"Thiria","Ramzi","1986-12-14"
258544,"Bahi","Demos","1986-10-05"
413598,"Lunn","Boriana","1986-08-06"
27885,"Cronau","Ziya","1986-09-14"
472430,"Pellegrinelli","Lalit","1986-08-29"
414260,"Kuhnemann","Sedat","1986-06-02"
27805,"Ranon","Shay","1986-10-06"
26581,"Weiland","Mansur","1986-07-19"
419898,"Merkl","Zhanqiu","1986-07-21"
89616,"Tchuente","Samphel","1986-06-23"
56217,"Zizka","Gao","1986-10-24"
233547,"Dichev","Masali","1986-02-02"
21992,"Tetzlaff","Yurii","1986-12-26"
422131,"Kleiser","Adin","1986-08-28"
244205,"Hofting","Conor","1986-07-03"
473793,"Serra","Petter","1986-07-05"
246249,"Remmele","Jamaludin","1986-06-14"
209012,"Karunanithi","Vasilii","1986-10-15"
232463,"Lorys","Boutros","1986-07-15"
65276,"Suermann","Jiakeng","1986-08-07"
41114,"Thummel","Petter","1986-09-16"
467857,"Puoti","Kwok","1986-08-27"
200358,"Munke","Lihong","1986-04-13"
35611,"Ramsak","Khue","1986-08-10"
102241,"Tetzlaff","Udo","1986-04-09"
498165,"Stavenow","Christoph","1986-04-12"
229788,"Lund","Yuichiro","1986-01-28"
415636,"Danecki","Danel","1986-05-04"
101477,"Piazza","Kenroku","1986-11-02"
90321,"Selvestrel","Lijia","1986-05-31"
94350,"Bergere","Bodo","1986-05-14"
29461,"Krychniak","Shridhar","1986-11-02"
85168,"Sevcikova","Maik","1986-04-12"
463240,"Alpin","Temple","1986-08-31"
20468,"Farrar","Arnould","1986-03-01"
257908,"Granlund","Arco","1986-11-22"
407920,"Leijenhorst","Quingbo","1986-02-17"
429678,"Benveniste","Wojceich","1986-06-23"
295494,"Steenbeek","Charlene","1986-07-19"
231401,"Biran","Fumino","1986-02-10"
52722,"Zeidenstein","Youssef","1986-10-26"
408540,"Hebert","Danae","1986-10-11"
493867,"Angelov","Teruyuki","1986-11-08"
104505,"Parascandalo","Maren","1986-07-06"
31719,"Caine","JoAnne","1986-10-15"
97787,"Zumaque","Jayson","1986-02-26"
273516,"Ghazalie","Hilary","1986-05-04"
271190,"Genther","Pradeep","1986-11-25"
226318,"Guerreiro","Woody","1986-10-09"
400986,"Gist","Kensei","1986-12-17"
296153,"Boguraev","Zvonko","1986-12-28"
223975,"Kusakabe","Yongmin","1986-01-26"
98267,"Zwicker","Lihong","1986-09-03"
488589,"Farrow","Dietrich","1986-02-16"
472633,"Picaronny","Rosalyn","1986-12-07"
12124,"Schaaf","Jingling","1986-06-29"
476126,"Bugaenko","Wojceich","1986-09-03"
295856,"Liesche","Gill","1986-02-27"
442969,"Sgarro","Yoshimitsu","1986-08-26"
487460,"Mitchem","Toong","1986-02-05"
94942,"Ghalwash","Hercules","1986-10-12"
293627,"Szilard","Keiichiro","1986-08-05"
472871,"Brookman","Kellyn","1986-03-25"
247279,"Radwan","Monique","1986-09-10"
246415,"Fasbender","Souichi","1986-12-11"
469198,"Sewelson","Xiping","1986-09-16"
41356,"Teitelbaum","Gil","1986-07-16"
436081,"Whittlesey","Jaideep","1986-09-30"
23396,"Fairtlough","Hilari","1986-11-11"
99119,"Massonet","Zejun","1986-10-20"
419555,"Kugler","Amstein","1986-09-02"
289620,"Rousseau","Atreyi","1986-04-13"
39598,"Docker","Behnaam","1986-02-25"
22186,"Baaz","Duangkaew","1986-12-17"
44398,"Matzat","Shigehito","1986-08-07"
62993,"Bultermann","Giordano","1986-06-01"
441725,"Ferriere","Ute","1986-12-01"
13398,"Valette","Fuqing","1986-03-10"
47147,"Brodie","Avishai","1986-05-10"
211398,"Thorensen","Vishwani","1986-07-19"
90125,"Reghbati","Shugo","1986-11-10"
101934,"Rosin","Roselyn","1986-02-16"
29191,"Krogh","Ayakannu","1986-08-02"
477428,"Hanratty","Qunsheng","1986-12-14"
31239,"Veccia","Sven","1986-03-07"
461062,"Eterovic","Ennio","1986-12-16"
299680,"Katalagarianos","Sadegh","1986-01-28"
283653,"Camurati","Neelam","1986-01-31"
205392,"Bolsens","Mani","1986-04-04"
417547,"Sridhar","Ohad","1986-08-05"
447975,"Schneeberger","Suzette","1986-11-23"
109998,"Heping","Mizuhito","1986-11-11"
27793,"Merlo","Paraskevi","1986-05-02"
476406,"Milicia","Arunachalam","1986-10-27"
63204,"Yeung","Nechama","1986-02-02"
405830,"Foote","Alselm","1986-05-01"
480555,"Baik","Tsutomu","1986-04-22"
98325,"Osgood","Leni","1986-08-05"
428036,"Talmon","Petter","1986-08-17"
27452,"Basawa","Mang","1986-02-10"
13286,"Smailagic","Basem","1986-11-09"
202161,"Kusalik","Takahira","1986-12-06"
90050,"Pietrzykowski","Berthier","1986-06-30"
286540,"Rotem","Oldrich","1986-03-06"
96508,"Rothenberg","Kerhong","1986-03-07"
425342,"Ferretti","Deborah","1986-12-17"
203023,"Kitsuregawa","Xiaobin","1986-06-30"
240142,"Prampolini","Dekang","1986-11-17"
456286,"Taubenfeld","Maria","1986-12-15"
204898,"Sadowski","Mohan","1986-07-30"
433950,"Heusch","Xinyu","1986-04-21"
445674,"Gecsei","Ioana","1986-03-11"
77664,"Doering","Alejandra","1986-02-24"
89126,"Hemaspaandra","Arup","1986-05-18"
454580,"Ruther","Leon","1986-02-17"
498736,"Hofman","Yuping","1986-09-03"
438601,"Barreiro","Mani","1986-12-25"
414397,"Jenevein","Tonia","1986-09-25"
446516,"Schlegelmilch","Kristin","1986-01-21"
51646,"Hellwagner","Maren","1986-05-08"
53874,"Schade","Bodo","1986-02-14"
489356,"Burnard","Eckart","1986-12-30"
279666,"Luca","Stepehn","1986-10-09"
253339,"Erol","Fabrizio","1986-02-28"
463927,"Kulisch","Lokesh","1986-04-22"
100280,"Welham","Abdelkader","1986-08-12"
472640,"Kobara","Khun","1986-01-11"
251371,"Lorch","Jackson","1986-12-05"
99996,"Melski","Gal","1986-10-12"
250261,"Baig","Xuejun","1986-05-30"
11259,"Gronowski","Amalendu","1986-12-26"
428971,"Belinskaya","Aamer","1986-12-13"
19178,"Chinal","Jaideep","1986-04-30"
295738,"Holburn","Kazuhira","1986-11-04"
486330,"Cyre","Masaki","1986-09-20"
41337,"Copas","Kiyokazu","1986-08-24"
280448,"Aamodt","Theron","1986-03-16"
462511,"Georg","Takushi","1986-02-13"
402218,"Poupard","Aiichiro","1986-05-30"
438993,"Conte","Alassane","1986-07-31"
90456,"Masamoto","Jamaludin","1986-01-26"
240936,"Tanemo","Shahid","1986-05-29"
215164,"Riesenhuber","Oksana","1986-06-05"
59288,"Marrevee","Xuejun","1986-09-03"
85787,"Kugler","Youngkon","1986-06-24"
91381,"Auyong","Mohan","1986-02-05"
478472,"Gulak","Jiafu","1986-05-13"
416903,"England","Piyawadee","1986-06-06"
402154,"Baca","Genta","1986-08-21"
481795,"Roisin","Gil","1986-10-15"
445077,"Marquardt","Parke","1986-04-29"
418788,"Wolniewicz","Boguslaw","1986-08-26"
258974,"Pusterhofer","Jinpo","1986-04-19"
292635,"Griswold","Junsik","1986-05-30"
90020,"Holburn","Oldrich","1986-05-31"
225612,"Ellozy","Manu","1986-11-18"
471518,"Tokunaga","Kankanahalli","1986-11-14"
19135,"Soicher","Leaf","1986-08-21"
420522,"Kadhim","Tua","1986-09-01"
233382,"Diderrich","Bojan","1986-04-16"
203882,"Schoegge","Haldon","1986-06-07"
466244,"Antonisse","Radhakrishnan","1986-09-12"
206706,"Klyachko","Abdelaziz","1986-01-20"
499091,"Kohling","Elvis","1986-02-25"
77601,"Toyoshima","Frederique","1986-05-03"
32123,"Ritzmann","Otilia","1986-06-22"
233539,"Rossi","Sumant","1986-03-27"
59111,"Shinomoto","Takahiro","1986-04-30"
39643,"Langford","Olivera","1986-02-19"
293803,"Halevi","Laurentiu","1986-06-17"
291172,"Gewali","Herb","1986-11-11"
493958,"Zuberek","Renny","1986-08-01"
71229,"Segond","Taiji","1986-06-23"
12082,"Yamaashi","Xinan","1986-01-29"
45125,"Raney","Kaijung","1986-10-16"
273990,"Pellegrinelli","Bader","1986-11-19"
38310,"Asmuth","Reuven","1986-12-20"
223714,"Gulik","Christoph","1986-02-17"
64477,"Belinskaya","Boaz","1986-03-16"
461414,"Czap","Mayumi","1986-01-16"
108813,"Baar","Marla","1986-06-16"
295693,"Deville","Conrado","1986-06-04"
202998,"Basagni","Giri","1986-11-14"
213117,"Lienhardt","Torsten","1986-08-19"
33340,"Lamma","Gila","1986-07-17"
451983,"Shackel","Christoper","1986-06-03"
76714,"Waschkowski","Mari","1986-05-05"
257455,"Dratva","Maris","1986-11-04"
208919,"Vidal","Wanqing","1986-04-28"
83208,"Buchter","Niclas","1986-03-29"
43883,"Aseltine","Zhigen","1986-01-23"
495104,"McDermid","Marit","1986-08-20"
12327,"Bruckman","DAIDA","1986-10-16"
36250,"Gomatam","Augustine","1986-07-23"
258584,"Takkinen","Howell","1986-06-02"
462894,"Kambil","Mari","1986-08-26"
99822,"Maquelin","Hideo","1986-04-19"
24483,"Muhlberg","Filipe","1986-09-23"
411266,"Schwaller","Douadi","1986-11-30"
472379,"Lorie","Taiji","1986-07-19"
14237,"Gerlach","Abdulla","1986-06-13"
89152,"Kowalchuk","Yucel","1986-05-29"
471056,"Poupard","Parto","1986-02-19"
414180,"Dengi","Kinh","1986-09-10"
220868,"Lovengreen","Christoph","1986-08-24"
279464,"Parascandalo","Weicheng","1986-06-02"
208932,"Kolvik","Irene","1986-11-09"
294729,"Chiola","Youjian","1986-12-12"
88222,"Geffroy","Karsten","1986-08-13"
98713,"Luit","Stabislas","1986-02-23"
285261,"Acton","Pragnesh","1986-11-04"
409955,"Soicher","Gennadi","1986-02-20"
448832,"Gien","Paddy","1986-03-14"
244057,"Erdmenger","Vishwani","1986-02-03"
279610,"Jeansoulin","Zongyan","1986-08-01"
418745,"Ravishankar","Elrique","1986-09-05"
478786,"Stavenow","Guadalupe","1986-03-30"
457311,"Stranks","Tsvetan","1986-05-20"
423573,"Keohane","Khue","1986-07-20"
237357,"Grospietsch","Tayeb","1986-11-30"
23283,"Kavanagh","Jingling","1986-04-17"
101701,"Stentiford","Jordanka","1986-05-05"
89481,"Khalil","Eishiro","1986-10-13"
234891,"Erez","Ravishankar","1986-06-22"
107185,"Zweizig","Tzvetan","1986-03-14"
441550,"Hitomi","Heather","1986-05-23"
469483,"Kruskal","Howell","1986-07-14"
470859,"Adachi","Serif","1986-02-17"
290254,"Roohalamini","Vugranam","1986-06-12"
245106,"Wroclawski","Goo","1986-12-14"
281463,"Matzel","Subir","1986-06-20"
421046,"Swiss","Olivera","1986-12-02"
271104,"Byoun","Demin","1986-03-07"
63929,"Veldwijk","Munir","1986-03-17"
249548,"Jiafu","Freyja","1986-03-23"
10776,"Skafidas","Mahmut","1986-03-16"
435486,"Fargier","KayLiang","1986-02-23"
84903,"Macedo","Billie","1986-10-03"
28937,"Vickson","Srinidhi","1986-06-07"
467322,"Ozeri","Boutros","1986-07-19"
234578,"Ullian","Miyeon","1986-10-19"
56395,"Schaad","Make","1986-10-08"
403546,"Mukaidono","Pranjal","1986-06-15"
98812,"Fadgyas","Jungsoon","1986-06-21"
16441,"Schaaf","Amabile","1986-08-28"
237775,"Fadgyas","Nevin","1986-02-18"
438398,"Schaad","Chuanyi","1986-09-25"
235817,"Sidou","Mingsen","1986-08-11"
247118,"Panwar","Khaled","1986-07-06"
60734,"Kakkad","Satosi","1986-10-21"
440504,"Ermel","Ebbe","1986-06-15"
265733,"Pelc","Adly","1986-01-11"
210620,"Bierman","Anyuan","1986-06-13"
84783,"Shumilov","Aamod","1986-09-18"
89519,"Szilard","Vasilis","1986-07-29"
256335,"Baba","Flemming","1986-02-12"
461405,"Fadgyas","Shigenori","1986-12-02"
259202,"Moehrke","Bodh","1986-01-11"
217764,"Massonet","Ingmar","1986-03-31"
52790,"Chinal","Freyja","1986-11-08"
449053,"Kragelund","Genki","1986-03-28"
106009,"Ruther","Niteen","1986-12-11"
268295,"Lambe","Vidya","1986-07-16"
422696,"Botman","Debatosh","1986-03-15"
476196,"Botman","Kiam","1986-11-17"
290021,"Salvesen","Akemi","1986-11-14"
273299,"Kalorkoti","Takushi","1986-06-21"
450907,"Jarecki","Mitsuyuki","1986-01-12"
485904,"Cannane","Anyuan","1986-02-02"
200312,"Fujisaki","Akemi","1986-12-16"
260930,"Feinberg","Zita","1986-04-21"
34531,"Picaronny","Erez","1986-12-22"
479437,"Merkl","Karlis","1986-05-05"
92248,"Liesche","Alejandro","1986-09-08"
28935,"Riesenhuber","Lucien","1986-09-04"
35206,"Kamber","Akhilish","1986-04-29"
298044,"Koshiba","Jaideep","1986-09-16"
296279,"Kossowski","Valeri","1986-03-04"
479402,"Perfilyeva","Martina","1986-01-12"
479546,"Shinomoto","Toong","1986-01-27"
415673,"Chiodo","Boutros","1986-08-10"
243002,"Zeleznik","Chrisa","1986-12-09"
287898,"Underwood","Kazuhisa","1986-05-29"
215857,"Nilsson","Luerbio","1986-11-17"
268347,"Angelov","Jiang","1986-12-12"
72087,"Chartres","Teiji","1986-04-04"
65115,"Anido","Goetz","1986-10-26"
257270,"Muhlberg","Tomokazu","1986-12-18"
202919,"Eugenio","Ult","1986-07-11"
458251,"Fujisawa","Mohd","1986-09-07"
404002,"Molenaar","Martial","1986-03-30"
96907,"Hiraishi","Masamitsu","1986-04-10"
433303,"Rettelbach","Conrado","1986-03-20"
65537,"Luders","Thodoros","1986-11-09"
288345,"Lamparter","Tuval","1986-11-06"
229127,"Daescu","Demin","1986-09-19"
224360,"Fiutem","Ziva","1986-01-28"
62141,"Apsitis","Yagil","1986-09-18"
47908,"Bolsens","Khalil","1986-08-04"
97926,"Thibadeau","Krisda","1986-03-08"
52096,"Yetim","Tomokazu","1986-07-06"
234193,"Bouloucos","Georgy","1986-10-16"
229627,"Uehara","Samphel","1986-09-29"
230595,"Riesenhuber","Mansur","1986-09-15"
490184,"Perz","Reinhold","1986-05-15"
19937,"Kavanagh","Flemming","1986-11-03"
457769,"Chaudhury","Serge","1986-01-04"
467598,"Silva","Demin","1986-04-27"
20902,"Beetstra","Rasikan","1986-03-05"
408365,"Chachaty","Kamakshi","1986-08-27"
98972,"Marquardt","Yuguang","1986-12-27"
400866,"Ratzlaff","Heather","1986-02-08"
496521,"Baca","Yinghua","1986-03-16"
450897,"Snedden","Kwee","1986-06-20"
58151,"Smeets","Masanao","1986-04-06"
207688,"Marshall","Juichirou","1986-02-22"
408632,"Casley","Mooi","1986-10-29"
90009,"Ozeki","Denny","1986-11-17"
258762,"Genther","Chriss","1986-08-25"
287341,"McFarlan","Jiann","1986-02-04"
51291,"Schreiter","Gila","1986-07-06"
437470,"Bouloucos","Rasiah","1986-02-16"
107021,"Zongker","Dung","1986-05-29"
98791,"Chimia","Karlis","1986-12-12"
423021,"Pluym","Elliott","1986-04-23"
218796,"Thiria","Elzbieta","1986-03-21"
457048,"Linares","Zongyan","1986-04-15"
278648,"Christianini","Moto","1986-05-03"
258864,"Avouris","Susanta","1986-07-16"
53459,"Berstel","Salvador","1986-02-05"
204908,"Schurmann","Quingbo","1986-08-31"
474917,"Figueira","Kwun","1986-05-27"
452566,"Chenney","Pranav","1986-01-16"
430217,"Oaver","Freyja","1986-10-21"
281983,"Klyachko","Kiyotoshi","1986-04-13"
495280,"Khalil","Douadi","1986-09-08"
414544,"Alvarado","Bowen","1986-10-30"
405451,"Daescu","Ipke","1986-11-18"
443522,"Crooks","Xiaobin","1986-05-17"
204745,"Masaki","Oscar","1986-07-26"
69480,"Demizu","Jordanka","1986-05-08"
496464,"Radhakrishnan","Zine","1986-11-19"
293487,"Haldar","Nathan","1986-06-11"
420151,"Maierhofer","Khoa","1986-08-14"
479863,"Reghbati","Sushant","1986-09-08"
433039,"Borstler","Pasqua","1986-04-11"
419374,"Pollacia","Yoshinari","1986-01-29"
51089,"Feldhoffer","Remmert","1986-04-01"
450052,"Onuegbe","Palash","1986-02-03"
270374,"Bardell","Shawna","1986-10-23"
402213,"Marzano","Pasqua","1986-09-05"
257484,"Nicolson","Shaowei","1986-07-19"
37104,"Trelles","Junichi","1986-12-05"
422028,"Ghandeharizadeh","Mamdouh","1986-01-08"
275542,"Assaf","Magy","1986-07-07"
49417,"Yavatkar","Woody","1986-10-14"
57325,"Akiyama","Hidde","1986-02-15"
69456,"Zeleznik","Berni","1986-08-23"
79936,"Giveon","Boaz","1986-10-19"
88478,"Pashtan","Gino","1986-08-03"
17018,"Tasistro","Berhard","1986-02-20"
58516,"Knightly","Xianlong","1986-05-09"
485000,"Quaggetto","Conor","1986-10-08"
278450,"Redmiles","Atreye","1986-01-21"
432956,"Birrer","Qunsheng","1986-05-13"
469786,"Benaini","Goh","1986-04-03"
41565,"Krychniak","Giap","1986-04-05"
107654,"Speek","Bernd","1986-12-20"
70149,"Hainaut","Taiji","1986-02-03"
77073,"Colorni","Lalit","1986-08-11"
228622,"Hiroyama","Zorica","1986-06-16"
252157,"Streit","Girolamo","1986-02-07"
84419,"Foote","Hailing","1986-04-21"
449659,"Ratnaker","Jaewoo","1986-06-02"
498214,"Cronin","Toshimori","1986-08-24"
259935,"Pellegrinelli","Frazer","1986-05-23"
221360,"Meszaros","Dulce","1986-04-25"
280677,"Fargier","Kerryn","1986-06-13"
63272,"Weiland","Aksel","1986-08-26"
201965,"Pleszkun","Frazer","1986-06-19"
252070,"Katalagarianos","Valeska","1986-03-08"
212666,"Marchesini","Mohua","1986-08-20"
62048,"Foote","Susumu","1986-05-21"
270205,"Ranta","Youjian","1986-07-04"
32226,"Perez","Pranay","1986-05-13"
232727,"Jonsson","Sastry","1986-05-01"
432233,"Hitomi","Goetz","1986-08-29"
73790,"Pepe","Kazunori","1986-09-11"
221086,"Motley","Baziley","1986-02-20"
61393,"Krychniak","Gadiel","1986-02-20"
466655,"Melichar","Goetz","1986-11-09"
261279,"Sgarro","Ghassan","1986-07-12"
260552,"Laurillard","Danel","1986-06-23"
261298,"Ventosa","Ottavia","1986-01-04"
213183,"Trelles","Gilbert","1986-09-22"
218039,"Hettesheimer","Jeanne","1986-02-16"
64058,"Bernick","Mayuri","1986-12-17"
33855,"Rathonyi","Ronnie","1986-02-19"
253125,"Percebois","Khalil","1986-03-13"
245868,"Bondorf","Leandro","1986-09-05"
104755,"Zschoche","Tetsurou","1986-10-27"
33341,"Huxford","Xiadong","1986-01-11"
270505,"Baez","Chriss","1986-09-22"
61486,"Bierman","Weiye","1986-06-19"
444253,"Merli","Yifei","1986-06-07"
211909,"Baca","Siddarth","1986-11-05"
428609,"Riexinger","Stevo","1986-09-28"
295627,"Borovoy","Richard","1986-01-23"
109994,"Takkinen","Guangming","1986-05-24"
227192,"Gente","Shuky","1986-09-16"
417123,"Ramsak","Shao","1986-04-07"
494510,"DuCasse","Fumiyo","1986-10-01"
210958,"Paludetto","Eirik","1986-06-09"
439488,"Landherr","Olivera","1986-06-23"
486591,"Rikino","Irena","1986-03-08"
477314,"Hanratty","Premal","1986-09-08"
59232,"Panangaden","Stafford","1986-12-21"
492240,"Litzkow","Garnik","1986-10-01"
414157,"Schwabacher","Moon","1986-05-19"
60024,"Ramsak","Sakthirel","1986-09-04"
99964,"Levasseur","Maia","1986-12-12"
294517,"Selenyi","Weiwu","1986-02-17"
58419,"Ranst","Yurii","1986-11-01"
209477,"Wuwongse","Teiji","1986-07-18"
17418,"Biros","Hsiangchu","1986-08-02"
442376,"Straney","Toshimori","1986-03-10"
76562,"Basart","Renee","1986-10-30"
261628,"Rajaraman","Arvin","1986-06-23"
69074,"Poehlman","Gao","1986-11-26"
454160,"Dalphin","Niclas","1986-01-25"
74282,"Schwabacher","Cordelia","1986-06-19"
465058,"Herber","Hitomi","1986-02-02"
255203,"Detkin","Koldo","1986-06-28"
100523,"Shumilov","Olivera","1986-03-19"
